date,predicted_demand,lower_bound,upper_bound
2025-01-01,982,806,1159
2025-01-02,978,802,1155
2025-01-03,974,799,1150
2025-01-04,971,796,1145
2025-01-05,967,793,1142
2025-01-06,964,791,1138
2025-01-07,958,786,1131
2025-01-08,953,782,1125
2025-01-09,949,778,1119
2025-01-10,945,775,1115
2025-01-11,942,772,1111
2025-01-12,939,770,1108
2025-01-13,936,768,1105
2025-01-14,934,766,1103
2025-01-15,933,765,1100
2025-01-16,931,763,1098
2025-01-17,930,762,1097
2025-01-18,928,761,1095
2025-01-19,927,760,1094
2025-01-20,926,760,1093
2025-01-21,925,759,1092
2025-01-22,925,758,1091
2025-01-23,924,758,1090
2025-01-24,924,757,1090
2025-01-25,923,757,1089
2025-01-26,923,757,1089
2025-01-27,922,756,1088
2025-01-28,922,756,1088
2025-01-29,922,756,1088
2025-01-30,922,756,1088
